"competitorId","competitorName","firstName","lastName","gender","genderId","age","ageNull","height","heightNull","weight","weightNull","bmi","bmiNull","affiliateName","affiliateId","countryOfOriginName","countryOfOriginCode","regionName","regionId","status","statusId","year","overallRank","overallScore","openCompetitor","openRank","openScore","gamesCompetitions","openCompetitions"
45491,"Jennifer Smith","Jennifer","Smith","F",2,27,0,168,0,63,0,22.3214285714286,0,"CrossFit Maximus",2307,"United States",1,"North America",1,"ACT",1,2013,22,619,1,16,305,1,1
45763,"Amy Summers","Amy","Summers","F",2,28,0,165.374825174825,1,65.6666666666667,1,24.014145599118,1,"",0,"",0,"",0,"ACT",1,2008,30,30,0,1000,5000,1,3
46105,"Courtney Modecki","Courtney","Modecki","F",2,30,0,158,0,59,0,23.6340330075308,0,"",0,"",0,"South America",3,"CUT",4,2013,42,240,1,853,5000,1,1
46167,"Sam Ryder","Sam","Ryder","F",2,36,0,171,0,62,0,21.2031052289593,0,"",0,"",0,"",0,"CUT",4,2010,42,0,0,1000,5000,0,1
46243,"Julie Foucher","Julie","Foucher","F",2,21,0,163,0,62,0,23.3354661447552,0,"",0,"",0,"",0,"ACT",1,2010,5,72,0,1000,5000,1,1
47056,"Stacey Kroon","Stacey","Kroon","F",2,26,0,173,0,71,0,23.7228106518761,0,"",0,"",0,"",0,"ACT",1,2009,10,137,0,1000,5000,1,3
47099,"Jacob Tsypkin","Jacob","Tsypkin","M",1,19,0,177.37876960193,1,88.3747016706444,1,28.0820119519273,1,"",0,"",0,"",0,"ACT",1,2008,107,31,0,1000,5000,1,3
47661,"Dan Bailey","Dan","Bailey","M",1,27,0,171,0,82,0,28.0428165931398,0,"",0,"United States",1,"North America",1,"ACT",1,2011,6,696,1,1,43,1,1
48307,"Omar Torres","Omar","Torres","M",1,30,0,166,0,80,0,29.0317898098418,0,"",0,"",0,"",0,"ACT",1,2008,11,16,0,1000,5000,1,5
49052,"Lauren Pryor","Lauren","Pryor","F",2,27,0,176,0,77,0,24.8579545454545,0,"",0,"",0,"",0,"DNF",3,2009,14,122,0,1000,5000,1,5
49506,"Ryan Lilienthal","Ryan","Lilienthal","M",1,33,0,176,0,82,0,26.4721074380165,0,"",0,"",0,"",0,"CUT",4,2010,30,110,0,1000,5000,1,5
49510,"Albert-dominic Larouche","Albert-dominic","Larouche","M",1,21,0,178,0,91,0,28.7211210705719,0,"",0,"Canada",5,"North America",1,"CUT",4,2011,33,201,1,72,1253,1,1
49846,"Mariah Serrano","Mariah","Serrano","F",2,16,0,165.374825174825,1,65.6666666666667,1,24.014145599118,1,"",0,"",0,"",0,"ACT",1,2007,15,237,0,1000,5000,1,5
50225,"Mona Pretorius","Mona","Pretorius","F",2,22,0,165.374825174825,1,65.6666666666667,1,24.014145599118,1,"",0,"South Africa",9,"Africa",5,"CUT",4,2011,45,71,0,1000,5000,1,5
50601,"Valerie Mackenzie (voboril)","Valerie","Mackenzie (voboril)","F",2,30,0,158,0,62,0,24.8357634994392,0,"",0,"",0,"",0,"CUT",4,2009,70,10,0,1000,5000,1,5
50837,"Cori Gobell","Cori","Gobell","F",2,32,0,165.374825174825,1,67,0,24.014145599118,1,"",0,"",0,"",0,"ACT",1,2008,16,27,0,1000,5000,1,4
50866,"Spencer Hendel","Spencer","Hendel","M",1,20,0,188,0,98,0,27.7274784970575,0,"",0,"",0,"",0,"DNF",3,2009,12,115,0,1000,5000,1,4
50900,"Christen Wagner","Christen","Wagner","F",2,24,0,168,0,66,0,23.3843537414966,0,"CrossFit Asia",952,"",0,"Asia",6,"CUT",4,2012,41,230,1,382,3471,1,1
50940,"Krista Colson","Krista","Colson","F",2,37,0,173,0,71,0,23.7228106518761,0,"",0,"",0,"",0,"CUT",4,2009,28,139,0,1000,5000,1,1
51041,"Chad Mackay","Chad","Mackay","M",1,28,0,186,0,107,0,30.9284310324893,0,"",0,"",0,"",0,"ACT",1,2010,12,123,0,1000,5000,1,1
